run_prefix,dataset,model,failure_label,failure_steps,status,num_seeds,ref_goodput_mean,blk_goodput_mean,ovl_goodput_mean,blk_drop_vs_ref_pct,ovl_drop_vs_ref_pct,ovl_vs_blk_pct,ovl_minus_blk_gp,ref_pass_rate,blk_pass_rate,ovl_pass_rate,blk_restarts_mean,ovl_restarts_mean,blk_loss_diff_mean,ovl_loss_diff_mean
exp4_matrix_20260216_221349_cifar10_resnet50_flate_k50_m4,cifar10,resnet50,late,"800,1400",completed_prev,3,8.41238680573659,7.535989415547486,7.867950849185057,-10.417939764627437,-6.471836936697562,4.405014595066992,0.3319614336375709,1.0,1.0,1.0,2.0,2.0,0.026412585576375325,0.026412585576375325
exp4_matrix_20260216_221349_cifar100_resnet50_fbase_k50_m4,cifar100,resnet50,base,"400,1200",completed,3,9.398020160899135,8.3523465871036,8.696344858407356,-11.126530438252347,-7.4662034181532055,4.11858233750626,0.3439982713037555,1.0,1.0,1.0,2.0,2.0,0.044096960226694744,0.044096960226694744
exp4_matrix_20260216_221349_cifar10_resnet18_fbase_k50_m4,cifar10,resnet18,base,"400,1200",completed_prev,3,14.33017908275167,12.082506600064873,12.571130355634642,-15.684887604734666,-12.275134294966927,4.0440594964553656,0.488623755569769,1.0,1.0,1.0,2.0,2.0,0.10971972070634366,0.10583151396363973
exp4_matrix_20260216_221349_cifar100_resnet50_flate_k50_m4,cifar100,resnet50,late,"800,1400",completed,3,9.438827926922881,8.427762539144661,8.76254307323732,-10.711768406057109,-7.164924066012035,3.9723536648985203,0.3347805340926584,1.0,1.0,1.0,2.0,2.0,0.03290109078089396,0.03290109078089396
exp4_matrix_20260216_221349_cifar10_resnet50_fbase_k50_m4,cifar10,resnet50,base,"400,1200",completed_prev,3,8.418934700652258,7.541034593815833,7.804544653539211,-10.427686376619716,-7.297717216709698,3.4943489045849763,0.2635100597233784,1.0,1.0,1.0,2.0,2.0,0.04493671591083209,0.04493671591083209
exp4_matrix_20260216_221349_cifar100_resnet18_fbase_k50_m4,cifar100,resnet18,base,"400,1200",completed_prev,3,14.106078837684985,11.823857838173454,12.159968409833434,-16.178989397212785,-13.796253730359387,2.8426472667393066,0.3361105716599795,1.0,1.0,1.0,2.0,2.0,0.09502302708725134,0.09603909105062484
exp4_matrix_20260216_221349_cifar10_resnet18_flate_k50_m4,cifar10,resnet18,late,"800,1400",completed_prev,3,14.543241583255133,12.347150302578433,12.646388475870133,-15.100424950688062,-13.042849467404904,2.423540379428357,0.2992381732917,1.0,1.0,1.0,2.0,2.0,0.12130921598523854,0.10368539508432151
exp4_matrix_20260216_221349_cifar100_resnet18_flate_k50_m4,cifar100,resnet18,late,"800,1400",completed,3,16.353030616659463,13.652897525958613,13.893357438271567,-16.51151492341806,-15.041084653031422,1.761237216171585,0.2404599123129536,1.0,1.0,1.0,2.0,2.0,0.08825008300443492,0.08958788834512234
