run_prefix,dataset,model,failure_label,failure_steps,checkpoint_every,max_inflight,status,num_seeds,ref_pass_rate,blk_pass_rate,ovl_pass_rate,ref_goodput_mean,blk_goodput_mean,ovl_goodput_mean,blk_restarts_mean,ovl_restarts_mean,blk_loss_diff_mean,ovl_loss_diff_mean,publishable_json
exp4_matrix_20260216_221349_cifar10_resnet18_fbase_k50_m4,cifar10,resnet18,base,"400,1200",50,4,completed_prev,3,1.0,1.0,1.0,14.33017908275167,12.082506600064873,12.571130355634642,2.0,2.0,0.10971972070634366,0.10583151396363973,results/exp4_matrix_20260216_221349_cifar10_resnet18_fbase_k50_m4/reports/exp4_matrix_20260216_221349_cifar10_resnet18_fbase_k50_m4_publishable.json
exp4_matrix_20260216_221349_cifar10_resnet18_flate_k50_m4,cifar10,resnet18,late,"800,1400",50,4,completed_prev,3,1.0,1.0,1.0,14.543241583255133,12.347150302578433,12.646388475870133,2.0,2.0,0.12130921598523854,0.10368539508432151,results/exp4_matrix_20260216_221349_cifar10_resnet18_flate_k50_m4/reports/exp4_matrix_20260216_221349_cifar10_resnet18_flate_k50_m4_publishable.json
exp4_matrix_20260216_221349_cifar10_resnet50_fbase_k50_m4,cifar10,resnet50,base,"400,1200",50,4,completed_prev,3,1.0,1.0,1.0,8.418934700652258,7.541034593815833,7.804544653539211,2.0,2.0,0.04493671591083209,0.04493671591083209,results/exp4_matrix_20260216_221349_cifar10_resnet50_fbase_k50_m4/reports/exp4_matrix_20260216_221349_cifar10_resnet50_fbase_k50_m4_publishable.json
exp4_matrix_20260216_221349_cifar10_resnet50_flate_k50_m4,cifar10,resnet50,late,"800,1400",50,4,completed_prev,3,1.0,1.0,1.0,8.41238680573659,7.535989415547486,7.867950849185057,2.0,2.0,0.026412585576375325,0.026412585576375325,results/exp4_matrix_20260216_221349_cifar10_resnet50_flate_k50_m4/reports/exp4_matrix_20260216_221349_cifar10_resnet50_flate_k50_m4_publishable.json
exp4_matrix_20260216_221349_cifar100_resnet18_fbase_k50_m4,cifar100,resnet18,base,"400,1200",50,4,completed_prev,3,1.0,1.0,1.0,14.106078837684985,11.823857838173454,12.159968409833434,2.0,2.0,0.09502302708725134,0.09603909105062484,results/exp4_matrix_20260216_221349_cifar100_resnet18_fbase_k50_m4/reports/exp4_matrix_20260216_221349_cifar100_resnet18_fbase_k50_m4_publishable.json
exp4_matrix_20260216_221349_cifar100_resnet18_flate_k50_m4,cifar100,resnet18,late,"800,1400",50,4,completed,3,1.0,1.0,1.0,16.353030616659463,13.652897525958613,13.893357438271567,2.0,2.0,0.08825008300443492,0.08958788834512234,results/exp4_matrix_20260216_221349_cifar100_resnet18_flate_k50_m4/reports/exp4_matrix_20260216_221349_cifar100_resnet18_flate_k50_m4_publishable.json
exp4_matrix_20260216_221349_cifar100_resnet50_fbase_k50_m4,cifar100,resnet50,base,"400,1200",50,4,completed,3,1.0,1.0,1.0,9.398020160899135,8.3523465871036,8.696344858407356,2.0,2.0,0.044096960226694744,0.044096960226694744,results/exp4_matrix_20260216_221349_cifar100_resnet50_fbase_k50_m4/reports/exp4_matrix_20260216_221349_cifar100_resnet50_fbase_k50_m4_publishable.json
exp4_matrix_20260216_221349_cifar100_resnet50_flate_k50_m4,cifar100,resnet50,late,"800,1400",50,4,completed,3,1.0,1.0,1.0,9.438827926922881,8.427762539144661,8.76254307323732,2.0,2.0,0.03290109078089396,0.03290109078089396,results/exp4_matrix_20260216_221349_cifar100_resnet50_flate_k50_m4/reports/exp4_matrix_20260216_221349_cifar100_resnet50_flate_k50_m4_publishable.json
